Occupation,Occupation_action,Mean rating for females,Mean rating for males,P(assigned_female|responded_female),P(assigned_female|responded_male)
accountant,Accountant maintains financial records and prepares financial statements.,4.25,4.55,0.4583333333,0.4083333333
acrobat,Acrobat performs daring aerial stunts and acrobatics.,3.85,4.15,0.525,0.475
acupuncturist,Acupuncturist inserts thin needles into specific points on the body to alleviate pain and promote healing.,4,3.8,0.5,0.5333333333
admiral,Admiral commands and maneuvers naval fleets during military operations.,5.75,5.85,0.2083333333,0.1916666667
advice columnist,Advice columnist provides guidance and answers questions in a newspaper or magazine column.,3,2.4,0.6666666667,0.7666666667
aerobics instructor,Aerobics instructor leads fitness classes with choreographed aerobic exercises.,2.1,2.25,0.8166666667,0.7916666667
air stewardess,Air stewardess ensures the safety and comfort of passengers during flights.,1.8,1.55,0.8666666667,0.9083333333
air traffic controller,Air traffic controller directs and monitors the movement of aircraft in the airspace.,5.5,5.45,0.25,0.2583333333
alcoholic,Alcohol Beverage Inspector ensures compliance with alcohol regulations and conducts inspections at establishments.,5.25,5.55,0.2916666667,0.2416666667
allergist,Allergist diagnoses and treats patients with allergies and related conditions.,4.55,3.55,0.4083333333,0.575
animal caretaker,Animal caretaker provides daily care and attention to animals in a shelter or farm setting.,3.9,3.4,0.5166666667,0.6
antique dealer,"Antique dealer evaluates, buys, and sells valuable antiques.",3.45,3.5,0.5916666667,0.5833333333
architect,Architect designs and plans structures and buildings.,5.55,5.1,0.2416666667,0.3166666667
artisan,Artisan creates handmade goods with exceptional craftsmanship.,4.2,4.5,0.4666666667,0.4166666667
artist,Artist creates visual or performing art to express creativity and evoke emotions.,3.8,4.05,0.5333333333,0.4916666667
assistant,Assistant assists with administrative tasks and supports office operations.,3.25,3.5,0.625,0.5833333333
astrologist,Astrologist interprets celestial movements and their influence on individuals' lives.,4.35,4.35,0.4416666667,0.4416666667
astronaut,Astronaut pilots spacecraft during missions to explore outer space.,5.65,5.85,0.225,0.1916666667
astronomer,Astronomer explores celestial objects and phenomena in the universe.,5.1,4.5,0.3166666667,0.4166666667
athlete,Athlete competes in various sports at a professional level.,4.65,5.2,0.3916666667,0.3
attorney,Attorney represents clients in legal proceedings and provides legal advice.,4.25,4.5,0.4583333333,0.4166666667
auctioneer,Auctioneer conducts auctions and facilitates bidding processes.,5.55,5.8,0.2416666667,0.2
author,Author creates fictional narratives or non-fictional works for publication.,3.9,3.95,0.5166666667,0.5083333333
auto mechanic,Auto mechanic diagnoses and repairs issues in vehicles.,6.45,6.6,0.09166666667,0.06666666667
aviator,Aviator operates aircraft and ensures safe flight.,5.6,5.4,0.2333333333,0.2666666667
baby,Nanny nurtures and cares for young children.,3.85,3.95,0.525,0.5083333333
babysitter,Babysitter ensures the safety and care of children in their care.,1.85,1.95,0.8583333333,0.8416666667
baker,Baker bakes delicious pastries and bread for customers.,3.3,3.65,0.6166666667,0.5583333333
ballerina,Ballerina gracefully performs ballet dances on stage.,1.5,1.65,0.9166666667,0.8916666667
ballet dancer,Ballet dancer performs intricate choreography and ballet routines.,1.6,1.45,0.9,0.925
